Movie_name,Actors,Crtitic_ratings,Release date & duration,User_ratings,Language,Movie_type
P Se Pyaar F Se Faraar,"Jimmy Sheirgill, Kumud Mishra, Sanjay Mishra, Zakir Hussain, Neha Joshi, Akhilendra Mishra",2,18 Oct 2019 | 2 hrs 12 mins,2.6,Hindi,"Drama, Crime, Romance | UA"
Life Mein Time Nahi Hai Kisi Ko,"Rajneesh Duggal, Krishna Abhishek, Yuvika Chaudhary, Shakti Kapoor, Rajpal Yadav, Govind Namdeo, Tiku Talsania, Himani Shivpuri, Hemant Pandey, Sunil Pal, Mushtaq Khan",1.5,18 Oct 2019 | 1 hr 59 mins,2.2,Hindi,"Drama, Comedy | U"
Love Shots,"Sulakshana Rai, Anvita Rai, Ravnit Singh",1,18 Oct 2019 | 1 hr 44 mins,1.7,Hindi,"Drama, Adult, Romance | A"
#Yaaram,"Prateik Babbar, Siddhanth Kapoor, Ishita Raj, Subha Rajput, Anita Raj Hinorani, Dalip Tahil",2,18 Oct 2019 | 2 hrs 10 mins,2.5,Hindi,"Comedy, Romance | UA"
Ghost,"Sanaya Irani, Shivam Bhaargava",2,18 Oct 2019 | 2 hrs 10 mins,2.6,Hindi,"Horror, Thriller | A"
Kirket,"Kirti _Azad, Vishal Tiwari, Sachin Chhabra, Sonu Jha, Dev Singh",2,18 Oct 2019 | 2 hrs 10 mins,2.5,Hindi,Drama | UA
Junction Varanasi,"Dev Sharma, Govind Namdeo, Zarina Wahab, Anupam Shyam, Subrat Dutta, Shubhangi Latkar, Anjali Abrol",2,18 Oct 2019 | 2 hrs 10 mins,2.6,Hindi,Drama | UA
Officer Arjun Singh IPS,"Priyanshu Chatterjee, Raai Laxmi, Vijay Raaz, Govind Namdeo, Deepraj Rana",1.5,18 Oct 2019 | 2 hrs 0 mins,2.3,Hindi,Drama | UA
Laal Kaptaan,"Saif Ali Khan, Zoya Hussain, Deepak Dobriyal, Manav Vij",2.5,18 Oct 2019 | 2 hrs 35 mins,2.9,Hindi,"Drama, Action | A"
Jo Hal Dil Ka,"Goutam Shah, Bhairavi Chakraborty",2.6,18 Oct 2019 | 1 hr 53 mins,,Hindi,"Action,Comedy,Romantic | UA"
Jacqueline I Am Coming,"Raghuvir Yadav, Kiran D Patil, Diiva Dhanoya",3,18 Oct 2019 | 1 hr 52 mins,,Hindi,Drama | A
The Sky Is Pink,"Farhan Akhtar, Priyanka Chopra, Zaira Wasim, Brian Nathan, Sammy John Heaney, Rohit Saraf",3.5,11 Oct 2019 | 2 hrs 29 mins,3.5,Hindi,"Biography, Drama, Romance | UA"
The Destiny Samaj Of Banjaraa,"Amba Das Pawar, Angelina Bhharwa",3.1,11 Oct 2019 | 1 hr 50 mins,,Hindi,"Action,Drama,Romantic | U"
War,"Hrithik Roshan, Tiger Shroff, Vaani Kapoor, Ashutosh Rana",3,02 Oct 2019 | 2 hrs 34 mins,3.4,"Hindi, Tamil, Telugu","Action, Thriller | UA"
Little Baby,"Priyanshu Chatterjee, Gulnaz Siganporia, Shivani Mahajan, Ravi Khanna, Vijay Raj",2,27 Sep 2019 | 1 hr 45 mins,2.5,Hindi,Drama | UA
Main Zaroor Aaunga,"Arbaaz Khan, Aindrita Ray, Govind Namdev, Vikas Verma, Hemant Pandey",1.5,27 Sep 2019 | 1 hr 32 mins,2.1,Hindi,"Horror, Thriller | A"
Kandy Twist,"Adi Irani, Divya Singh, Shiva Rindani, Ashish Mishra",1.5,27 Sep 2019 | 1 hr 50 mins,2.2,Hindi,"Drama, Crime | UA"
Pyaar Karle,"Akbar Bin Tabar, Chitram Basha, Lakshmi Bharadwaj",3.3,27 Sep 2019 | 1 hr 56 mins,,Hindi,"Action,Drama,Romantic |UA"
Hum To Huye Hain Tumhare,"Ajit Pandit, Aashima Sharma, Mahesh Raj Panday",3.5,27 Sep 2019 | 2 hrs 24 mins,,Hindi,Drama | UA
Cypher: Shoonya Se Shikhar Tak,"Brijendra Kala, Vikram Gokhale, Rajesh Sharma, Paresh Bhanushali",3.4,20 Sep 2019 | 2 hrs 4 mins,,Hindi,Biography | U
Prassthanam,"Sanjay Dutt, Manisha Koirala, Jackie Shroff, Chunky Pandey, Ali Fazal, Amyra Dastur, Satyajeet Dubey",3,20 Sep 2019 | 2 hrs 21 mins,3.2,Hindi,"Drama, Action, Crime | UA"
Pal Pal Dil Ke Paas,"Karan Deol, Saher Bamba, Sachin Khedekar, Aakash Ahuja",2.5,20 Sep 2019 | 2 hrs 33 mins,2.9,Hindi,"Drama, Romance | UA"
The Zoya Factor,"Sonam Kapoor, Dulquer Salmaan, Sanjay Kapoor, Angad Bedi, Sikander Kher, Manu Rishi Chadha, Koel Purie",3.5,20 Sep 2019 | 2 hrs 16 mins,3.3,Hindi,"Romance, Comedy | U"
Section 375,"Richa Chadha, Akshaye Khanna, Rahul Bhat, Meera Chopra, Kumud Mishra, Atul Kulkarni",4,13 Sep 2019 | 2 hrs 4 mins,4,Hindi,"Drama, Thriller | UA"
Dream Girl,"Nushrat Bharucha, Ayushmann Khurrana, Vijay Raaz, Abhishek Banerjee, Manjot Singh, Annu Kapoor, Nidhi Bisht",3.5,13 Sep 2019 | 2 hrs 12 mins,3.5,Hindi,"Drama, Comedy, Romance | UA"
College ke Din Char,"Prachi Shah, Sibani Panigrahi, Pradnya Pawar, Keval Shah, Mahesh Shukla, Rushabh Shah",3.3,13 Sep 2019 | 2 hrs 7 mins,,Hindi,"Comedy,Drama | A"
Pehlwaan,"Kichcha Sudeepa, Suniel Shetty, Aakanksha Singh",2.5,12 Sep 2019 | 2 hrs 1 mins,3,Hindi,"Drama, Action | UA"
Chhichhore,"Sushant Singh Rajput, Shraddha Kapoor, Prateik Babbar, Varun Sharma, Tahir Raj Bhasin, Amir Khan",3.5,06 Sep 2019 | 2 hrs 26 mins,3.6,Hindi,"Drama, Romance, Comedy | UA"
Fairr In Love,"Kanupriya Sharma, Ashwin Dhar, Dolly Arya, Firoj Khan",2.8,06 Sep 2019 | 2 hrs 0 mins,,Hindi,Drama | UA
Saaho,"Prabhas, Neil Nitin Mukesh, Shraddha Kapoor, Jackie Shroff, Tinnu Anand, Arun Vijay, Chunky Pandey, Mandira Bedi, Amit Sharma, Mahesh Manjrekar, Murli Sharma",2.5,30 Aug 2019 | 2 hrs 51 mins,2.6,"Hindi, Tamil, Telugu, Malayalam","Action, Thriller, Romance | UA"
